Date,Value
2006-10-01,72.2
2006-10-02,72
2006-10-03,71.9
2006-10-04,72.1
2006-10-05,72.4
2006-10-06,71.9
2006-10-07,72.3
2006-10-08,71.5
2006-10-09,71.7
2006-10-10,71.8
2006-10-11,71.9
2006-10-12,72.7
2006-10-13,73.3
2006-10-14,72.8
2006-10-15,73.5
2006-10-16,72.6
2006-10-17,72.5
2006-10-18,72.8
2006-10-19,73.3
2006-10-20,73.1
2006-10-21,73.3
2006-10-22,71.8
2006-10-23,72.2
2006-10-24,72.2
2006-10-25,73.8
2006-10-26,73.1
2006-10-27,73.1
2006-10-28,73.3
2006-10-29,73.7
2006-10-30,72
2006-10-31,72.5
