Date,Value
2022-01-01,+35.9
2022-01-02,+35.9
2022-01-03,+35.8
2022-01-04,+35.7
2022-01-05,+35.9
2022-01-06,+36.1
2022-01-07,+35.9
2022-01-08,+35.5
2022-01-09,+35.8
2022-01-10,+35.9
2022-01-11,+35.3
2022-01-12,+35.5
2022-01-13,+35.9
2022-01-14,+35.8
2022-01-15,+36.3
2022-01-16,+35.7
2022-01-17,+35.5
2022-01-18,+35.7
2022-01-19,+35.8
2022-01-20,+35.7
2022-01-21,+35.8
2022-01-22,+36.2
2022-01-23,+35.7
2022-01-24,+36.1
2022-01-25,+36.1
2022-01-26,+35.9
2022-01-27,+36.1
2022-01-28,+35.8
2022-01-29,+36.1
2022-01-30,+35.8
2022-01-31,+35.8
