Date,Value 
2022-04-01,+35.9
2022-04-02,+35.8
2022-04-03,+35.4
2022-04-04,+35.8
2022-04-05,+35.3
2022-04-06,+35.5
2022-04-07,+35.8
2022-04-08,+35.7
2022-04-09,+35.9
2022-04-10,+35.3
2022-04-11,+35.7
2022-04-12,+35.6
2022-04-13,+35.8
2022-04-14,+35.7
2022-04-15,+35.6
2022-04-16,+35.5
2022-04-17,+35.8
2022-04-18,+35.7
2022-04-19,+35.8
2022-04-21,+36.1
2022-04-22,+36.1
2022-04-23,+36.1
2022-04-24,+35.8
2022-04-25,+35.5
2022-04-26,+35.8
2022-04-27,+35.5
2022-04-28,+35.5
2022-04-29,+36.1
2022-04-30,+36.1
