Date,Value
2021-11-01,+37.4
2021-11-02,+36.3
2021-11-03,+36.1
2021-11-04,+35.9
2021-11-05,+36.1
2021-11-06,+36.2
2021-11-07,+36.1
2021-11-08,+36.1
2021-11-09,+36.1
2021-11-10,+36.0
2021-11-11,+36.0
2021-11-12,+36.2
2021-11-13,+36.5
2021-11-14,+36.2
2021-11-15,+36.3
2021-11-16,+36.3
2021-11-17,+36.2
2021-11-18,+36.6
2021-11-19,+36.1
2021-11-20,+36.3
2021-11-21,+36.0
2021-11-22,+35.8
2021-11-23,+35.9
2021-11-24,+36.4
2021-11-25,+36.1
2021-11-26,+36.0
2021-11-27,+36.6
2021-11-28,+36.1
2021-11-29,+36.1
2021-11-30,+36.2
