Date,Value 
2022-07-01,+36.2
2022-07-02,+36.6
2022-07-03,+36.6
2022-07-04,+36.6
2022-07-05,+36.3
2022-07-06,+36.5
2022-07-07,+36.5
2022-07-08,+36.3
2022-07-09,+36.1
2022-07-10,+36.4
2022-07-11,+36.0
2022-07-12,+36.6
2022-07-13,+36.7
2022-07-14,+36.3
2022-07-15,+36.2
2022-07-16,+36.1
2022-07-17,+36.5
2022-07-18,+36.2
2022-07-19,+36.0
2022-07-20,+36.2
2022-07-21,+36.5
2022-07-22,+36.5
2022-07-23,+36.3
2022-07-24,+36.3
2022-07-25,+36.3
2022-07-26,+36.4
2022-07-27,+36.5
2022-07-28,+36.2
2022-07-29,+36.0
2022-07-30,+36.5
2022-07-31,+36.1
