Date,Value
2021-10-01,+8.51
2021-10-02,+9.06
2021-10-03,+7.76
2021-10-04,+10.00
2021-10-05,+8.70
2021-10-06,+6.33
2021-10-07,+8.58
2021-10-08,+9.48
2021-10-09,+8.83
2021-10-10,+7.25
2021-10-11,+9.00
2021-10-12,+7.45
2021-10-13,+9.33
2021-10-14,+7.21
2021-10-15,+8.13
2021-10-16,+8.21
2021-10-17,+7.50
2021-10-18,+5.30
2021-10-19,+8.05
2021-10-20,+4.40
2021-10-21,+9.56
2021-10-22,+7.00
2021-10-23,+7.40
2021-10-24,+8.50
2021-10-25,+7.50
2021-10-26,+8.01
2021-10-27,+5.66
2021-10-28,+7.00
2021-10-29,+6.51
2021-10-30,+6.85
2021-10-31,+6.50
