Date,Value 
2022-07-01,+5.05
2022-07-02,+6.70
2022-07-03,+4.00
2022-07-04,+7.75
2022-07-05,+5.00
2022-07-06,+6.08
2022-07-07,+5.50
2022-07-08,+6.01
2022-07-09,+6.41
2022-07-10,+5.33
2022-07-11,+5.55
2022-07-12,+5.15
2022-07-13,+5.90
2022-07-14,+6.98
2022-07-15,+6.50
2022-07-16,+6.00
2022-07-17,+6.75
2022-07-18,+5.06
2022-07-19,+5.41
2022-07-20,+6.00
2022-07-21,+5.85
2022-07-22,+4.90
2022-07-23,+3.60
2022-07-24,+5.93
2022-07-25,+4.86
2022-07-26,+5.08
2022-07-27,+6.90
2022-07-28,+4.96
2022-07-29,+5.00
2022-07-30,+7.15
2022-07-31,+4.50
