Date,Value
2021-10-01,+29.00
2021-10-02,+28.00
2021-10-03,+26.00
2021-10-04,+28.00
2021-10-05,+30.00
2021-10-06,+27.25
2021-10-07,+28.50
2021-10-08,+29.50
2021-10-09,+27.75
2021-10-10,+28.50
2021-10-11,+28.50
2021-10-12,+29.50
2021-10-13,+29.50
2021-10-14,+29.50
2021-10-15,+29.75
2021-10-16,+29.50
2021-10-17,+28.75
2021-10-18,+29.50
2021-10-19,+28.50
2021-10-20,+28.50
2021-10-21,+30.00
2021-10-22,+29.00
2021-10-23,+29.00
2021-10-24,+29.50
2021-10-25,+29.00
2021-10-26,+31.75
2021-10-27,+28.50
2021-10-28,+28.50
2021-10-29,+28.75
2021-10-30,+28.00
2021-10-31,+27.50
