Date,Value 
2022-07-01,+31.00
2022-07-02,+31.00
2022-07-03,+30.00
2022-07-04,+30.50
2022-07-05,+31.00
2022-07-06,+30.50
2022-07-07,+29.50
2022-07-08,+31.00
2022-07-09,+31.50
2022-07-10,+30.50
2022-07-11,+29.50
2022-07-12,+30.50
2022-07-13,+30.00
2022-07-14,+30.00
2022-07-15,+30.00
2022-07-16,+30.50
2022-07-17,+30.00
2022-07-18,+30.00
2022-07-19,+30.00
2022-07-20,+31.50
2022-07-21,+31.50
2022-07-22,+30.50
2022-07-23,+31.50
2022-07-24,+30.00
2022-07-25,+30.00
2022-07-26,+30.00
2022-07-27,+29.50
2022-07-28,+30.00
2022-07-29,+30.50
2022-07-30,+30.00
2022-07-31,+30.00
