Date,Value
2021-12-01,+12.95
2021-12-02,+14.25
2021-12-03,+12.10
2021-12-04,+12.80
2021-12-05,+13.53
2021-12-06,+11.75
2021-12-07,+10.86
2021-12-08,+14.11
2021-12-09,+11.05
2021-12-10,+11.51
2021-12-11,+13.56
2021-12-12,+11.48
2021-12-13,+12.50
2021-12-14,+14.46
2021-12-15,+10.70
2021-12-16,+12.93
2021-12-17,+10.20
2021-12-18,+12.15
2021-12-19,+13.35
2021-12-20,+12.05
2021-12-21,+10.56
2021-12-22,+14.93
2021-12-23,+12.00
2021-12-24,+11.50
2021-12-25,+14.25
2021-12-26,+12.66
2021-12-27,+11.50
2021-12-28,+12.65
2021-12-29,+14.21
2021-12-30,+12.46
2021-12-31,+12.15
