Date,Value 
2023-04-01,+11.01
2023-04-02,+12.00
2023-04-03,+13.15
2023-04-04,+12.51
2023-04-05,+15.85
2023-04-06,+13.05
2023-04-07,+13.65
2023-04-08,+14.63
2023-04-09,+13.91
2023-04-10,+14.96
2023-04-11,+14.78
2023-04-12,+13.16
2023-04-13,+13.75
2023-04-14,+14.93
2023-04-15,+13.71
2023-04-16,+15.60
2023-04-17,+11.18
2023-04-18,+13.75
2023-04-19,+11.26
2023-04-20,+13.08
2023-04-21,+12.51
2023-04-22,+15.40
2023-04-23,+12.88
2023-04-24,+13.05
2023-04-25,+12.20
2023-04-26,+15.71
2023-04-27,+13.30
2023-04-28,+11.83
2023-04-29,+14.93
2023-04-30,+13.56
