Date,Value 
2022-08-01,+58.2
2022-08-02,+58.0
2022-08-03,+58.0
2022-08-04,+58.7
2022-08-05,+59.0
2022-08-06,+58.7
2022-08-07,+58.3
2022-08-08,+58.7
2022-08-09,+58.0
2022-08-10,+58.1
2022-08-11,+58.7
2022-08-12,+59.0
2022-08-13,+58.8
2022-08-14,+58.9
2022-08-15,+58.6
2022-08-16,+58.6
2022-08-17,+58.6
2022-08-19,+58.9
2022-08-20,+58.2
2022-08-21,+58.6
2022-08-22,+58.5
2022-08-23,+58.4
2022-08-25,+58.5
2022-08-26,+58.8
2022-08-27,+58.4
2022-08-28,+58.3
2022-08-29,+58.7
2022-08-30,+58.2
2022-08-31,+58.4
